method,active_layers,rank,runs,best_acc_mean,best_acc_std,best_acc_mean_pm_std,final_acc_mean,final_acc_std,final_acc_mean_pm_std
Uniform-all12-r5,all 12 layers,5,3,0.928481,0.006051,0.928481 ± 0.006051,0.927217,0.006441,0.927217 ± 0.006441
First-4-r15,"0,1,2,3",15,3,0.872299,0.004227,0.872299 ± 0.004227,0.868106,0.004589,0.868106 ± 0.004589
Last-4-r15,"8,9,10,11",15,3,0.925206,0.001850,0.925206 ± 0.001850,0.921875,0.003290,0.921875 ± 0.003290
Random-top4-r15,5 random sets avg,15,15,0.924641,0.006011,0.924641 ± 0.006011,0.922002,0.006624,0.922002 ± 0.006624
Causal-top4-r15,"0,1,2,5",15,3,0.905551,0.004131,0.905551 ± 0.004131,0.900394,0.003581,0.900394 ± 0.003581
